prostitution,vehicle_theft,total,district
70,1193,1263,CENTRAL
581,1879,2460,NORTHERN
18,1426,1444,SOUTHERN
2,1207,1209,PARK
713,2063,2776,MISSION
527,371,898,TENDERLOIN
15,1081,1096,RICHMOND
10,1665,1675,TARAVAL
5,2319,2324,INGLESIDE
11,2121,2132,BAYVIEW
